Day,Month,Hour,Name,Map,h1,link,id,website,Image_Path
14,Ağustos,19:00,Masterpiece Ümitköy Heykel - Bir Fincan Kedi, Masterpiece Ümitköy ,Masterpiece Ümitköy Heykel - Bir Fincan Kedi,https://www.biletix.com/etkinlik/41333/TURKIYE/tr,d51bdb39-e37d-421d-886c-525240ccc00d,Biletix,
14,Ağustos,19:00,Masterpiece Ankara Heykel - Bir Fincan Kedi, Masterpiece Ankara ,Masterpiece Ankara Heykel - Bir Fincan Kedi,https://www.biletix.com/etkinlik/41514/TURKIYE/tr,e8bde17d-5523-4c6e-b195-58068d243d20,Biletix,
14,Ağustos,20:00,Hipnozcu, Çukurambar Kültür ve Sanat Merkezi ,Hipnozcu,https://www.biletix.com/etkinlik/4MF97/TURKIYE/tr,56ba860b-392e-40bd-8254-57e0e060877f,Biletix,
27,Ağustos,20:00,Hipnozcu, Çukurambar Kültür ve Sanat Merkezi ,Hipnozcu,https://www.biletix.com/etkinlik/4MF97/TURKIYE/tr,56ba860b-392e-40bd-8254-57e0e060877f,Biletix,
14,Ağustos,20:00,Ben Efsaneyim, CSO Ada Ankara Açıkhava ,Ben Efsaneyim,https://www.biletix.com/etkinlik/4HM0G/TURKIYE/tr,e88c9b52-4a95-446c-b6f9-f8dfd23d2c34,Biletix,
14,Ağustos,20:00,Hayvan Çiftliği, Şato Yazar Sahne ,Hayvan Çiftliği,https://www.biletix.com/etkinlik/4MF77/TURKIYE/tr,962ba24e-52aa-4068-98e3-93ae3b9d3d3e,Biletix,
28,Ağustos,20:00,Hayvan Çiftliği, Şato Yazar Sahne ,Hayvan Çiftliği,https://www.biletix.com/etkinlik/4MF77/TURKIYE/tr,962ba24e-52aa-4068-98e3-93ae3b9d3d3e,Biletix,
14,Ağustos,,Ben Efsaneyim," CSO Ada Ankara Açıkhava, Ankara ",CSO Ada Ankara Açıkhava Sinema Etkinlikleri,https://www.biletix.com/etkinlik-grup/497608794/TURKIYE/tr,809fc3d0-9ebe-437b-b38c-67b507e66039,Biletix,
17,Ağustos,,Yukarı Bak," CSO Ada Ankara Açıkhava, Ankara ",CSO Ada Ankara Açıkhava Sinema Etkinlikleri,https://www.biletix.com/etkinlik-grup/497608794/TURKIYE/tr,809fc3d0-9ebe-437b-b38c-67b507e66039,Biletix,
21,Ağustos,,Yıldızlararası," CSO Ada Ankara Açıkhava, Ankara ",CSO Ada Ankara Açıkhava Sinema Etkinlikleri,https://www.biletix.com/etkinlik-grup/497608794/TURKIYE/tr,809fc3d0-9ebe-437b-b38c-67b507e66039,Biletix,
24,Ağustos,,Arabalar," CSO Ada Ankara Açıkhava, Ankara ",CSO Ada Ankara Açıkhava Sinema Etkinlikleri,https://www.biletix.com/etkinlik-grup/497608794/TURKIYE/tr,809fc3d0-9ebe-437b-b38c-67b507e66039,Biletix,
28,Ağustos,,Kara Şövalye," CSO Ada Ankara Açıkhava, Ankara ",CSO Ada Ankara Açıkhava Sinema Etkinlikleri,https://www.biletix.com/etkinlik-grup/497608794/TURKIYE/tr,809fc3d0-9ebe-437b-b38c-67b507e66039,Biletix,
14,Ağustos,20:30,Kurtlar Vadisi Quiz Night, Coffee Up Bahçelievler ,Kurtlar Vadisi Quiz Night,https://www.biletix.com/etkinlik/4EFD2/TURKIYE/tr,f2440b32-f481-4e11-8bde-c2b541d471d3,Biletix,
29,Ağustos,20:30,Kurtlar Vadisi Quiz Night, Coffee Up Bahçelievler ,Kurtlar Vadisi Quiz Night,https://www.biletix.com/etkinlik/4EFD2/TURKIYE/tr,f2440b32-f481-4e11-8bde-c2b541d471d3,Biletix,
14,Ağustos,20:30,Mustafa Sağır Stand Up, Fade Stage & Coffee ,Mustafa Sağır Stand Up,https://www.biletix.com/etkinlik/4MAHH/TURKIYE/tr,307cdb8f-c1f5-49e8-92ba-0d6e3dc49fda,Biletix,
15,Ağustos,18:00,Aşk Perdesi, Çukurambar Kültür ve Sanat Merkezi ,Aşk Perdesi,https://www.biletix.com/etkinlik/4MF99/TURKIYE/tr,cb1efcb5-d9ad-4c75-afa5-5583cbaf7954,Biletix,
18,Ağustos,18:00,Aşk Perdesi, Çukurambar Kültür ve Sanat Merkezi ,Aşk Perdesi,https://www.biletix.com/etkinlik/4MF99/TURKIYE/tr,cb1efcb5-d9ad-4c75-afa5-5583cbaf7954,Biletix,
25,Ağustos,20:00,Aşk Perdesi, Çukurambar Kültür ve Sanat Merkezi ,Aşk Perdesi,https://www.biletix.com/etkinlik/4MF99/TURKIYE/tr,cb1efcb5-d9ad-4c75-afa5-5583cbaf7954,Biletix,
15,Ağustos,19:00,Masterpiece Ümitköy Resim - Kübik Vazo, Masterpiece Ümitköy ,Masterpiece Ümitköy Resim - Kübik Vazo,https://www.biletix.com/etkinlik/41326/TURKIYE/tr,8905c3dd-492f-4508-a0e7-6997f3130614,Biletix,
15,Ağustos,19:00,Masterpiece Ankara Resim - Kübik Vazo, Masterpiece Ankara ,Masterpiece Ankara Resim - Kübik Vazo,https://www.biletix.com/etkinlik/41496/TURKIYE/tr,5fcb59ed-593d-41ad-abd3-b190d0554c14,Biletix,
15,Ağustos,20:00,Sorun Bende Değil Sendese, Şato Yazar Sahne ,Sorun Bende Değil Sendese,https://www.biletix.com/etkinlik/4MF80/TURKIYE/tr,dad25ca0-8911-47c7-b371-5d619245b990,Biletix,
21,Ağustos,20:00,Sorun Bende Değil Sendese, Şato Yazar Sahne ,Sorun Bende Değil Sendese,https://www.biletix.com/etkinlik/4MF80/TURKIYE/tr,dad25ca0-8911-47c7-b371-5d619245b990,Biletix,
24,Ağustos,20:00,Sorun Bende Değil Sendese, Şato Yazar Sahne ,Sorun Bende Değil Sendese,https://www.biletix.com/etkinlik/4MF80/TURKIYE/tr,dad25ca0-8911-47c7-b371-5d619245b990,Biletix,
15,Ağustos,20:00,Çizmeli Kedi, Göksu Parkı Açıkhava Tiyatrosu ,Çizmeli Kedi,https://www.biletix.com/etkinlik/4ACBJ/TURKIYE/tr,2548c167-d62f-45ee-b2cd-505ce326ddef,Biletix,
15,Ağustos,20:30,Prime Time Stan Up, Altı Üstü Bar ,Prime Time Stan Up,https://www.biletix.com/etkinlik/4EFC8/TURKIYE/tr,a48a6fd3-5c7d-484b-a114-fada5d0c9905,Biletix,
22,Ağustos,20:30,Prime Time Stan Up, Altı Üstü Bar ,Prime Time Stan Up,https://www.biletix.com/etkinlik/4EFC8/TURKIYE/tr,a48a6fd3-5c7d-484b-a114-fada5d0c9905,Biletix,
29,Ağustos,20:30,Prime Time Stan Up, Altı Üstü Bar ,Prime Time Stan Up,https://www.biletix.com/etkinlik/4EFC8/TURKIYE/tr,a48a6fd3-5c7d-484b-a114-fada5d0c9905,Biletix,
15,Ağustos,20:30,Lafazans Stand Up Gecesi, Berlin Cafe Pub ,Lafazans Stand Up Gecesi,https://www.biletix.com/etkinlik/4FS27/TURKIYE/tr,77fd4acb-b851-47b8-b0e9-a96a6fad19ef,Biletix,
22,Ağustos,20:30,Lafazans Stand Up Gecesi, Berlin Cafe Pub ,Lafazans Stand Up Gecesi,https://www.biletix.com/etkinlik/4FS27/TURKIYE/tr,77fd4acb-b851-47b8-b0e9-a96a6fad19ef,Biletix,
29,Ağustos,20:30,Lafazans Stand Up Gecesi, Berlin Cafe Pub ,Lafazans Stand Up Gecesi,https://www.biletix.com/etkinlik/4FS27/TURKIYE/tr,77fd4acb-b851-47b8-b0e9-a96a6fad19ef,Biletix,
15,Ağustos,21:00,Örümcek Adam, Göksu Parkı Açıkhava Tiyatrosu ,Örümcek Adam,https://www.biletix.com/etkinlik/4ACBL/TURKIYE/tr,bf038b7c-3659-45ae-aa43-b3f7857308c4,Biletix,
15,Ağustos,21:00,Dj Hakan Küfündür İle 90lar & 2000ler Türkçe Pop Parti, 6:45 KK Ankara ,Dj Hakan Küfündür İle 90lar & 2000ler Türkçe Pop Parti,https://www.biletix.com/etkinlik/4HMY8/TURKIYE/tr,e50c02b9-e59e-4489-8b8a-185d17fcb8d4,Biletix,
15,Ağustos,21:00,Emir Can İğrek, CerModern ,Emir Can İğrek,https://www.biletix.com/etkinlik/4DT76/TURKIYE/tr,87c360d3-59e4-4d69-bc2f-608960122cdb,Biletix,
15,Ağustos,21:00,90lar Türkçe Pop Partisi, IF Performance Hall Tepe Prime ,90lar Türkçe Pop Partisi,https://www.biletix.com/etkinlik/4RX72/TURKIYE/tr,c925a956-7307-4d25-8c11-5c549ccc91cd,Biletix,
29,Ağustos,21:00,90lar Türkçe Pop Partisi, IF Performance Hall Tepe Prime ,90lar Türkçe Pop Partisi,https://www.biletix.com/etkinlik/4RX72/TURKIYE/tr,c925a956-7307-4d25-8c11-5c549ccc91cd,Biletix,
15,Ağustos,21:00,"2000'ler Türkçe Pop Partisi  
", IF Performance Hall ,"2000'ler Türkçe Pop Partisi  
",https://www.biletix.com/etkinlik/4K813/TURKIYE/tr,a4be2b08-1f0d-4233-b561-5a6c5adbc27f,Biletix,
29,Ağustos,21:00,"2000'ler Türkçe Pop Partisi  
", IF Performance Hall ,"2000'ler Türkçe Pop Partisi  
",https://www.biletix.com/etkinlik/4K813/TURKIYE/tr,a4be2b08-1f0d-4233-b561-5a6c5adbc27f,Biletix,
